,Datetime,AvgPrice
1023,12-11-2014,4761
1024,13-11-2014,4963
1025,14-11-2014,4453.5
1026,15-11-2014,4109
1027,17-11-2014,4874
1028,18-11-2014,4294.5
1029,19-11-2014,4660.5
1030,20-11-2014,4813
1031,21-11-2014,4938
1032,24-11-2014,4858
1033,25-11-2014,4500
1034,26-11-2014,4799
1035,27-11-2014,4847
1036,28-11-2014,4975
1037,01-12-2014,4782.5
1038,02-12-2014,4836
1039,03-12-2014,4227.5
1040,04-12-2014,4667.5
1041,05-12-2014,4209.5
1042,08-12-2014,4291
1043,09-12-2014,4359.5
1044,10-12-2014,3875
1045,11-12-2014,4584
1046,12-12-2014,4768
1047,15-12-2014,4513
1048,16-12-2014,4564.5
1049,17-12-2014,4806
1050,18-12-2014,4785
1051,19-12-2014,4883.5
1052,22-12-2014,4769
1053,23-12-2014,4820
1054,24-12-2014,4374
1055,26-12-2014,4446.5
1056,29-12-2014,4987.5
1057,30-12-2014,4463
1058,31-12-2014,4581
1059,02-01-2015,4865
1060,05-01-2015,4996.5
1061,06-01-2015,4918
1062,07-01-2015,4924
1063,08-01-2015,4749.5
1064,09-01-2015,4887
1065,12-01-2015,4893.5
1066,13-01-2015,4872
1067,14-01-2015,4745.5
1068,19-01-2015,4877
1069,20-01-2015,4765
1070,21-01-2015,4925
1071,22-01-2015,4955.5
1072,23-01-2015,5105
1073,27-01-2015,5000
1074,28-01-2015,4461
1075,29-01-2015,4893.5
1076,30-01-2015,5000
1077,02-02-2015,4987
1078,03-02-2015,5400
1079,04-02-2015,5059
1080,05-02-2015,5339
1081,06-02-2015,4950
1082,09-02-2015,5802.5
1083,10-02-2015,5314
1084,11-02-2015,5495
1085,12-02-2015,5550
1086,13-02-2015,5487
1087,14-02-2015,5609
1088,16-02-2015,5247
1089,17-02-2015,4899.5
1090,18-02-2015,5861
1091,19-02-2015,5934
1092,20-02-2015,5934
1093,23-02-2015,6000
1094,24-02-2015,5830
1095,25-02-2015,5680.5
1096,26-02-2015,5700
1097,27-02-2015,5792.5
1098,28-02-2015,4296
1099,02-03-2015,5761.5
1100,03-03-2015,5652
1101,04-03-2015,5517.5
1102,05-03-2015,5852.5
1103,06-03-2015,5838.5
1104,07-03-2015,3056
1105,09-03-2015,5729
1106,10-03-2015,4946
